sent_idx	tok_idx	pos	dep
0	0	INTJ	nmod
0	1	PUNCT	compound
0	2	PROPN	ROOT
0	3	PUNCT	punct
1	0	VERB	ROOT
1	1	PROPN	pobj
1	2	ADP	prep
1	3	NOUN	pobj
1	4	ADP	prep
1	5	DET	det
1	6	PROPN	pobj
1	7	ADP	prep
1	8	DET	det
1	9	PROPN	compound
1	10	PROPN	pobj
1	11	PUNCT	punct
2	0	PROPN	dep
2	1	ADP	prep
2	2	DET	det
2	3	NOUN	pobj
2	4	ADP	prep
2	5	DET	det
2	6	PROPN	pobj
2	7	ADP	prep
2	8	PROPN	compound
2	9	PROPN	pobj
2	10	PUNCT	punct
2	11	DET	det
2	12	NUM	nummod
2	13	ADJ	amod
2	14	NOUN	nsubjpass
2	15	ADP	prep
2	16	DET	det
2	17	NOUN	pobj
2	18	AUX	aux
2	19	AUX	auxpass
2	20	VERB	ROOT
2	21	ADP	prep
2	22	DET	det
2	23	NOUN	pobj
2	24	ADP	prep
2	25	DET	det
2	26	NOUN	pobj
2	27	PART	prep
2	28	PRON	pobj
2	29	PRON	nsubjpass
2	30	AUX	aux
2	31	AUX	auxpass
2	32	VERB	relcl
2	33	PUNCT	punct
2	34	ADP	prep
2	35	DET	det
2	36	NOUN	pobj
2	37	ADP	prep
2	38	NOUN	pobj
2	39	PUNCT	punct
2	40	ADP	prep
2	41	DET	det
2	42	NOUN	pobj
2	43	CCONJ	cc
2	44	NOUN	conj
2	45	ADP	prep
2	46	ADJ	amod
2	47	NOUN	pobj
2	48	PUNCT	punct
3	0	PRON	nsubj
3	1	AUX	aux
3	2	ADV	advmod
3	3	VERB	ROOT
3	4	PART	aux
3	5	VERB	xcomp
3	6	NOUN	dobj
3	7	ADP	prep
3	8	DET	det
3	9	ADJ	amod
3	10	CCONJ	cc
3	11	PUNCT	punct
3	12	ADV	advmod
3	13	PUNCT	punct
3	14	ADV	advmod
3	15	ADJ	advmod
3	16	ADJ	amod
3	17	NOUN	pobj
3	18	PUNCT	punct
3	19	PRON	appos
3	20	PRON	nsubj
3	21	AUX	relcl
3	22	ADP	prep
3	23	DET	det
3	24	NOUN	compound
3	25	NOUN	pobj
3	26	ADP	prep
3	27	NOUN	pobj
3	28	ADP	prep
3	29	DET	det
3	30	PROPN	pobj
3	31	PRON	appos
3	32	PUNCT	punct
3	33	CCONJ	cc
3	34	ADP	conj
3	35	ADJ	amod
3	36	NOUN	pobj
3	37	CCONJ	cc
